Model,QWK,Accuracy,F2,Remarks
XGB Classifier_no_bin_with bias_UncertaintyRating_RescueRating_10cv,0.37958952012605485,0.7707263389581805,0.4801356887247656,"XGB Classifier, no binning, with biased labels, with UncertaintyRating and RescueRating, with OHE and scaling_10cv"

LGBM Classifier_no_bin_with bias_UncertaintyRating_RescueRating_10cv,0.3803256568313547,0.7743947175348496,0.4682583830626784,"LGBM Classifier, no binning, with biased labels, with UncertaintyRating and RescueRating, with OHE and scaling_10cv"

AdaBoost Classifier_no_bin_with bias_UncertaintyRating_RescueRating_10cv,0.24799942442756065,0.7415994130594277,0.32879942692118697,"AdaBoost Classifier, no binning, with biased labels, with UncertaintyRating and RescueRating, with OHE and scaling_10cv"

Logistic Regression_no_bin_with bias_UncertaintyRating_NameorNO_10cv,0.2103795795928939,0.7401320616287601,0.26765307024595614,"Logistic Regression, no binning, with biased labels, with UncertaintyRating and NameorNO, with OHE and scaling_10cv"

SVC_no_bin_with bias_UncertaintyRating_NameorNO_10cv,0.1836509359584904,0.7412325752017608,0.21876582960388302,"SVC, no binning, with biased labels, with UncertaintyRating and NameorNO, with OHE and scaling_10cv"

Ridge_no_bin_with bias_UncertaintyRating_NameorNO_10cv,0.18361743185270077,0.7375641966250918,0.2304076072523285,"Ridge, no binning, with biased labels, with UncertaintyRating and NameorNO, with OHE and scaling_10cv"

K-Neighbors Classifier_no_bin_with bias_UncertaintyRating_NameorNO_10cv,0.21186145933501935,0.7214233308877475,0.3272721007998448,"K-Neighbors Classifier, no binning, with biased labels, with UncertaintyRating and NameorNO, with OHE and scaling_10cv"

Decision Tree_no_bin_with bias_UncertaintyRating_NameorNO_10cv,0.24068605130242907,0.6942039618488628,0.4523442278342255,"Decision Tree, no binning, with biased labels, with UncertaintyRating and NameorNO, with OHE and scaling_10cv"

Random Forest_no_bin_with bias_UncertaintyRating_NameorNO_10cv,0.29181176544369547,0.7524578136463684,0.3729822383405628,"Random Forest, no binning, with biased labels, with UncertaintyRating and NameorNO, with OHE and scaling_10cv"

XGB Classifier_no_bin_with bias_UncertaintyRating_NameorNO_10cv,0.3146397824948238,0.7537050623624358,0.4116111275642493,"XGB Classifier, no binning, with biased labels, with UncertaintyRating and NameorNO, with OHE and scaling_10cv"

LGBM Classifier_no_bin_with bias_UncertaintyRating_NameorNO_10cv,0.31738991022038604,0.7582538517975055,0.4013398402442275,"LGBM Classifier, no binning, with biased labels, with UncertaintyRating and NameorNO, with OHE and scaling_10cv"

AdaBoost Classifier_no_bin_with bias_UncertaintyRating_NameorNO_10cv,0.23040392811620675,0.7433602347762289,0.2920402125757643,"AdaBoost Classifier, no binning, with biased labels, with UncertaintyRating and NameorNO, with OHE and scaling_10cv"

Logistic Regression_no_bin_with bias_UncertaintyRating_DescLength_10cv,0.2060293553611295,0.7391782831988261,0.26319071446095266,"Logistic Regression, no binning, with biased labels, with UncertaintyRating and DescLength, with OHE and scaling_10cv"

SVC_no_bin_with bias_UncertaintyRating_DescLength_10cv,0.18559089463411865,0.7428466617754952,0.2168117660669457,"SVC, no binning, with biased labels, with UncertaintyRating and DescLength, with OHE and scaling_10cv"

Ridge_no_bin_with bias_UncertaintyRating_DescLength_10cv,0.18167730726081716,0.7374908290535582,0.22738634672613892,"Ridge, no binning, with biased labels, with UncertaintyRating and DescLength, with OHE and scaling_10cv"

K-Neighbors Classifier_no_bin_with bias_UncertaintyRating_DescLength_10cv,0.19970285433558826,0.717094644167278,0.3189479358103523,"K-Neighbors Classifier, no binning, with biased labels, with UncertaintyRating and DescLength, with OHE and scaling_10cv"

Decision Tree_no_bin_with bias_UncertaintyRating_DescLength_10cv,0.2301904440961866,0.6892149669845928,0.44684872405298137,"Decision Tree, no binning, with biased labels, with UncertaintyRating and DescLength, with OHE and scaling_10cv"

Random Forest_no_bin_with bias_UncertaintyRating_DescLength_10cv,0.2969487962295084,0.7579603815113719,0.36376119581886235,"Random Forest, no binning, with biased labels, with UncertaintyRating and DescLength, with OHE and scaling_10cv"

XGB Classifier_no_bin_with bias_UncertaintyRating_DescLength_10cv,0.32525928019266015,0.7573000733675714,0.4197812124938293,"XGB Classifier, no binning, with biased labels, with UncertaintyRating and DescLength, with OHE and scaling_10cv"

LGBM Classifier_no_bin_with bias_UncertaintyRating_DescLength_10cv,0.3137071347331048,0.7578136463683052,0.3959259640139762,"LGBM Classifier, no binning, with biased labels, with UncertaintyRating and DescLength, with OHE and scaling_10cv"

AdaBoost Classifier_no_bin_with bias_UncertaintyRating_DescLength_10cv,0.22912070528428702,0.7437270726338958,0.28854512677160743,"AdaBoost Classifier, no binning, with biased labels, with UncertaintyRating and DescLength, with OHE and scaling_10cv"

Logistic Regression_no_bin_with bias_UncertaintyRating_MSFLCont_10cv,0.20690400197352998,0.7391782831988262,0.26477102482325626,"Logistic Regression, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with OHE and scaling_10cv"

SVC_no_bin_with bias_UncertaintyRating_MSFLCont_10cv,0.18495861688875365,0.7419662509170947,0.21859076483610548,"SVC, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with OHE and scaling_10cv"

Ridge_no_bin_with bias_UncertaintyRating_MSFLCont_10cv,0.1837252226701131,0.7377842993396919,0.22988868970471915,"Ridge, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with OHE and scaling_10cv"

K-Neighbors Classifier_no_bin_with bias_UncertaintyRating_MSFLCont_10cv,0.20446059171866615,0.7187820983125459,0.3221376280396281,"K-Neighbors Classifier, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with OHE and scaling_10cv"

Decision Tree_no_bin_with bias_UncertaintyRating_MSFLCont_10cv,0.22776671514723018,0.6880410858400586,0.44560292963294845,"Decision Tree, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with OHE and scaling_10cv"

Random Forest_no_bin_with bias_UncertaintyRating_MSFLCont_10cv,0.2930956536344407,0.752017608217168,0.37691323621973577,"Random Forest, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with OHE and scaling_10cv"

XGB Classifier_no_bin_with bias_UncertaintyRating_MSFLCont_10cv,0.3146680953144887,0.7539985326485694,0.41054089838931385,"XGB Classifier, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with OHE and scaling_10cv"

LGBM Classifier_no_bin_with bias_UncertaintyRating_MSFLCont_10cv,0.3177325373144019,0.7578136463683052,0.4033778115020376,"LGBM Classifier, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with OHE and scaling_10cv"

AdaBoost Classifier_no_bin_with bias_UncertaintyRating_MSFLCont_10cv,0.22398257278662226,0.7420396184886281,0.28496703772767185,"AdaBoost Classifier, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with OHE and scaling_10cv"

Logistic Regression_no_bin_with bias_UncertaintyRating_MSFLCont_Agebins_10cv,0.25877296918768733,0.7433602347762289,0.34236798879819696,"Logistic Regression, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with AgeBins instead of Age, with OHE and scaling_10cv"

SVC_no_bin_with bias_UncertaintyRating_MSFLCont_Agebins_10cv,0.2225436080374672,0.7457813646368304,0.2700675410300374,"SVC, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with AgeBins instead of Age, with OHE and scaling_10cv"

Ridge_no_bin_with bias_UncertaintyRating_MSFLCont_Agebins_10cv,0.24160189210278255,0.7408657373440939,0.31978643327931794,"Ridge, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with AgeBins instead of Age, with OHE and scaling_10cv"

K-Neighbors Classifier_no_bin_with bias_UncertaintyRating_MSFLCont_Agebins_10cv,0.2078949920024841,0.7192956713132795,0.3264961161256416,"K-Neighbors Classifier, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with AgeBins instead of Age, with OHE and scaling_10cv"

Decision Tree_no_bin_with bias_UncertaintyRating_MSFLCont_Agebins_10cv,0.22445802800521514,0.6873807776962583,0.44157156505761835,"Decision Tree, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with AgeBins instead of Age, with OHE and scaling_10cv"

Random Forest_no_bin_with bias_UncertaintyRating_MSFLCont_Agebins_10cv,0.27643341517315073,0.7451944240645634,0.368511170462002,"Random Forest, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with AgeBins instead of Age, with OHE and scaling_10cv"

XGB Classifier_no_bin_with bias_UncertaintyRating_MSFLCont_Agebins_10cv,0.3017318869977627,0.7520176082171679,0.3929259471162313,"XGB Classifier, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with AgeBins instead of Age, with OHE and scaling_10cv"

LGBM Classifier_no_bin_with bias_UncertaintyRating_MSFLCont_Agebins_10cv,0.3002580295340792,0.7547322083639032,0.3809856984259992,"LGBM Classifier, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with AgeBins instead of Age, with OHE and scaling_10cv"

AdaBoost Classifier_no_bin_with bias_UncertaintyRating_MSFLCont_Agebins_10cv,0.20951577432930296,0.7403521643433603,0.2655499357330485,"AdaBoost Classifier, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with AgeBins instead of Age, with OHE and scaling_10cv"

Logistic Regression_no_bin_with bias_UncertaintyRating_MSFLCont_Photobins_10cv,0.2246084171166353,0.7421863536316948,0.2857735766865693,"Logistic Regression, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with PhotoAmtbins, with OHE and scaling_10cv"

SVC_no_bin_with bias_UncertaintyRating_MSFLCont_Photobins_10cv,0.2082981760859358,0.7455612619222303,0.24650521942194312,"SVC, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with PhotoAmtbins, with OHE and scaling_10cv"

Ridge_no_bin_with bias_UncertaintyRating_MSFLCont_Photobins_10cv,0.20454439185256357,0.7412325752017608,0.25418485777258376,"Ridge, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with PhotoAmtbins, with OHE and scaling_10cv"

K-Neighbors Classifier_no_bin_with bias_UncertaintyRating_MSFLCont_Photobins_10cv,0.20144112015183152,0.7193690388848129,0.3152769951026893,"K-Neighbors Classifier, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with PhotoAmtbins, with OHE and scaling_10cv"

Decision Tree_no_bin_with bias_UncertaintyRating_MSFLCont_Photobins_10cv,0.2316305040992584,0.6904622157006602,0.4462078764671923,"Decision Tree, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with PhotoAmtbins, with OHE and scaling_10cv"

Random Forest_no_bin_with bias_UncertaintyRating_MSFLCont_Photobins_10cv,0.27843016517031305,0.7491562729273661,0.35911656772266703,"Random Forest, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with PhotoAmtbins, with OHE and scaling_10cv"

XGB Classifier_no_bin_with bias_UncertaintyRating_MSFLCont_Photobins_10cv,0.31406625994773707,0.7532648569332355,0.41193240509768436,"XGB Classifier, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with PhotoAmtbins, with OHE and scaling_10cv"

LGBM Classifier_no_bin_with bias_UncertaintyRating_MSFLCont_Photobins_10cv,0.3135958742568638,0.757373440939105,0.3968221300986646,"LGBM Classifier, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with PhotoAmtbins, with OHE and scaling_10cv"

AdaBoost Classifier_no_bin_with bias_UncertaintyRating_MSFLCont_Photobins_10cv,0.2159196226627421,0.7415260454878944,0.2727213834684838,"AdaBoost Classifier, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with PhotoAmtbins, with OHE and scaling_10cv"

voting_no_bin_with bias_UncertaintyRating_MSFLCont,0.2960077348641684,0.7307410124724871,0.44986449864498645,"VotingClassifier, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with OHE and scaling"

Logistic Regression_no_bin_with bias_UncertaintyRating_MSFLCont_improvedsentiment10cv,0.20660455712560508,0.7391782831988262,0.2642515967077268,"Logistic Regression, no binning, with biased labels, with UncertaintyRating and MS+FL as conts, with improved sentiment,with OHE and scaling_10cv"

